
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
AUC:0.994357 TPR_2:0.951315 TPR_3:0.865151 TPR_4:0.752903 Face2Face
AUC:0.975172 TPR_2:0.601996 TPR_3:0.327036 TPR_4:0.227689 Test
epoch:006 batch:069000 loss:0.04088 avgloss:0.11376
AUC:0.992045 TPR_2:0.925846 TPR_3:0.838750 TPR_4:0.702247 validset
AUC:0.990526 TPR_2:0.723667 TPR_3:0.315889 TPR_4:0.013667 stylegan_celeba
AUC:0.949769 TPR_2:0.039458 TPR_3:0.001667 TPR_4:0.000000 stylegan_ffhq
AUC:0.951167 TPR_2:0.083981 TPR_3:0.005110 TPR_4:0.000000 faceapp
AUC:0.996487 TPR_2:0.961895 TPR_3:0.816410 TPR_4:0.077534 stargan
AUC:0.989435 TPR_2:0.663991 TPR_3:0.263880 TPR_4:0.007246 pggan_v1
AUC:0.987132 TPR_2:0.593653 TPR_3:0.163029 TPR_4:0.003563 pggan_v2
AUC:0.994020 TPR_2:0.947527 TPR_3:0.890083 TPR_4:0.742283 Deepfakes
AUC:0.987751 TPR_2:0.923377 TPR_3:0.833456 TPR_4:0.597866 FaceSwap
AUC:0.994250 TPR_2:0.948688 TPR_3:0.886837 TPR_4:0.754151 Face2Face
AUC:0.982282 TPR_2:0.654026 TPR_3:0.464040 TPR_4:0.244034 Test
epoch:007 batch:072000 loss:0.08259 avgloss:0.11167
AUC:0.989207 TPR_2:0.926064 TPR_3:0.844653 TPR_4:0.698082 validset
AUC:0.988891 TPR_2:0.755111 TPR_3:0.463444 TPR_4:0.166667 stylegan_celeba
AUC:0.926455 TPR_2:0.067133 TPR_3:0.008114 TPR_4:0.001223 stylegan_ffhq
AUC:0.921919 TPR_2:0.063541 TPR_3:0.008443 TPR_4:0.000889 faceapp
AUC:0.997151 TPR_2:0.954365 TPR_3:0.460047 TPR_4:0.087574 stargan
AUC:0.987516 TPR_2:0.684058 TPR_3:0.416722 TPR_4:0.136901 pggan_v1
AUC:0.985161 TPR_2:0.620156 TPR_3:0.298552 TPR_4:0.083964 pggan_v2
AUC:0.994938 TPR_2:0.946806 TPR_3:0.868318 TPR_4:0.779461 Deepfakes
AUC:0.994365 TPR_2:0.952547 TPR_3:0.853305 TPR_4:0.666715 FaceSwap
AUC:0.995156 TPR_2:0.960808 TPR_3:0.911209 TPR_4:0.840954 Face2Face
AUC:0.976839 TPR_2:0.667170 TPR_3:0.476461 TPR_4:0.307150 Test
